Time,Source,Destination,Protocol,Length
92.621201,10.0.0.3,10.0.0.6,TCP,969
82.218662,10.0.0.5,10.0.0.6,TCP,777
95.534859,10.0.0.5,10.0.0.6,TCP,777
96.593615,10.0.0.10,10.0.0.6,IPv4,1514
49.94112,10.0.0.7,10.0.0.6,TCP,1037
30.6981,10.0.0.5,10.0.0.6,TCP,777
35.527811,10.0.0.8,10.0.0.6,TCP,486
79.23714,10.0.0.5,10.0.0.6,TCP,777
93.91138,10.0.0.4,10.0.0.6,TCP,874
44.209996,10.0.0.10,10.0.0.6,IPv4,1514
33.335881,10.0.0.5,10.0.0.6,TCP,777
100.795957,10.0.0.10,10.0.0.6,IPv4,1514
44.983311,10.0.0.5,10.0.0.6,TCP,777
84.573309,10.0.0.3,10.0.0.6,TCP,969
95.340251,10.0.0.3,10.0.0.6,TCP,969
88.48944,10.0.0.4,10.0.0.6,TCP,874
92.085735,10.0.0.10,10.0.0.6,IPv4,1514
76.554579,10.0.0.10,10.0.0.6,IPv4,1514
35.254228,10.0.0.7,10.0.0.6,TCP,1037
66.156467,10.0.0.10,10.0.0.6,TCP,294
45.739506,10.0.0.10,10.0.0.6,IPv4,294
92.866475,10.0.0.9,10.0.0.6,TCP,669
47.351202,10.0.0.10,10.0.0.6,IPv4,1514
69.638027,10.0.0.3,10.0.0.6,TCP,969
93.836555,10.0.0.4,10.0.0.6,TCP,874
77.310522,10.0.0.4,10.0.0.6,TCP,874
35.676012,10.0.0.3,10.0.0.6,TCP,969
74.319073,10.0.0.10,10.0.0.6,IPv4,1514
80.579562,10.0.0.10,10.0.0.6,IPv4,1514
65.896312,10.0.0.5,10.0.0.6,TCP,777
70.076501,10.0.0.5,10.0.0.6,TCP,777
72.92251,10.0.0.8,10.0.0.6,TCP,486
80.56366,10.0.0.10,10.0.0.6,IPv4,1514
67.976487,10.0.0.10,10.0.0.6,IPv4,1514
79.101238,10.0.0.10,10.0.0.6,IPv4,1514
96.035993,10.0.0.3,10.0.0.6,TCP,969
87.725674,10.0.0.8,10.0.0.6,TCP,486
82.095975,10.0.0.5,10.0.0.6,TCP,777
89.397209,10.0.0.5,10.0.0.6,TCP,777
46.800902,10.0.0.4,10.0.0.6,TCP,874
97.147702,10.0.0.10,10.0.0.6,IPv4,1514
51.777384,10.0.0.4,10.0.0.6,TCP,874
87.962363,10.0.0.10,10.0.0.6,IPv4,1514
30.522451,10.0.0.5,10.0.0.6,TCP,777
79.548834,10.0.0.10,10.0.0.6,IPv4,1514
80.104607,10.0.0.3,10.0.0.6,TCP,969
50.419682,10.0.0.10,10.0.0.6,IPv4,1514
41.585575,10.0.0.8,10.0.0.6,TCP,486
74.645291,10.0.0.8,10.0.0.6,TCP,486
82.891084,10.0.0.3,10.0.0.6,TCP,969
80.702434,10.0.0.7,10.0.0.6,TCP,1037
85.368229,10.0.0.4,10.0.0.6,TCP,874
100.034644,10.0.0.10,10.0.0.6,IPv4,1514
30.28196,10.0.0.5,10.0.0.6,TCP,777
38.449003,10.0.0.10,10.0.0.6,IPv4,1514
69.139381,10.0.0.10,10.0.0.6,IPv4,1514
83.204533,10.0.0.10,10.0.0.6,IPv4,1514
40.036326,10.0.0.10,10.0.0.6,IPv4,1514
70.373406,10.0.0.10,10.0.0.6,IPv4,1514
72.248526,10.0.0.3,10.0.0.6,TCP,969
95.899985,10.0.0.5,10.0.0.6,TCP,777
85.176357,10.0.0.3,10.0.0.6,TCP,969
85.878702,10.0.0.4,10.0.0.6,TCP,874
31.352256,10.0.0.3,10.0.0.6,TCP,969
32.247223,10.0.0.7,10.0.0.6,TCP,1037
74.528595,10.0.0.8,10.0.0.6,TCP,486
35.15986,10.0.0.8,10.0.0.6,TCP,486
93.992767,10.0.0.10,10.0.0.6,IPv4,1514
40.046019,10.0.0.10,10.0.0.6,IPv4,1514
98.862641,10.0.0.3,10.0.0.6,TCP,969
56.671152,10.0.0.10,10.0.0.6,IPv4,1514
66.370364,10.0.0.10,10.0.0.6,TCP,294
38.156094,10.0.0.10,10.0.0.6,TCP,294
88.249665,10.0.0.7,10.0.0.6,TCP,1037
65.422177,10.0.0.8,10.0.0.6,TCP,486
51.347616,10.0.0.4,10.0.0.6,TCP,874
77.042843,10.0.0.10,10.0.0.6,IPv4,1514
37.053434,10.0.0.10,10.0.0.6,TCP,1514
90.262946,10.0.0.10,10.0.0.6,IPv4,1514
57.737234,10.0.0.10,10.0.0.6,IPv4,1514
52.038561,10.0.0.7,10.0.0.6,TCP,1037
29.024919,10.0.0.3,10.0.0.6,TCP,969
96.91109,10.0.0.10,10.0.0.6,IPv4,1514
92.978879,10.0.0.10,10.0.0.6,IPv4,1514
30.900095,10.0.0.5,10.0.0.6,TCP,777
83.85688,10.0.0.10,10.0.0.6,IPv4,1514
73.992669,10.0.0.7,10.0.0.6,TCP,1037
48.975711,10.0.0.5,10.0.0.6,TCP,777
77.328931,10.0.0.10,10.0.0.6,IPv4,1514
84.667606,10.0.0.7,10.0.0.6,TCP,1037
48.537625,10.0.0.8,10.0.0.6,TCP,486
71.968267,10.0.0.10,10.0.0.6,IPv4,1514
99.398783,10.0.0.10,10.0.0.6,IPv4,1514
41.779119,10.0.0.10,10.0.0.6,IPv4,1514
96.802879,10.0.0.10,10.0.0.6,IPv4,1514
46.449089,10.0.0.3,10.0.0.6,TCP,969
96.982366,10.0.0.3,10.0.0.6,TCP,969
74.624597,10.0.0.10,10.0.0.6,TCP,294
73.494843,10.0.0.10,10.0.0.6,IPv4,1514
47.045365,10.0.0.3,10.0.0.6,TCP,969
37.356603,10.0.0.5,10.0.0.6,TCP,777
86.918818,10.0.0.3,10.0.0.6,TCP,969
48.946373,10.0.0.3,10.0.0.6,TCP,969
46.841685,10.0.0.10,10.0.0.6,IPv4,1514
