Time,Source,Destination,Protocol,Length
153.135246,10.0.0.2,10.0.0.6,TCP,574
153.135276,10.0.0.6,10.0.0.2,TCP,54
153.141085,10.0.0.2,10.0.0.6,TCP,574
153.141136,10.0.0.6,10.0.0.2,TCP,54
153.141869,10.0.0.2,10.0.0.6,TCP,574
153.141878,10.0.0.6,10.0.0.2,TCP,54
153.14521,10.0.0.2,10.0.0.6,TCP,574
153.145218,10.0.0.6,10.0.0.2,TCP,54
153.148548,10.0.0.2,10.0.0.6,TCP,574
153.148556,10.0.0.6,10.0.0.2,TCP,54
153.151889,10.0.0.2,10.0.0.6,TCP,574
153.151898,10.0.0.6,10.0.0.2,TCP,54
153.155234,10.0.0.2,10.0.0.6,TCP,574
153.155242,10.0.0.6,10.0.0.2,TCP,54
153.161188,10.0.0.2,10.0.0.6,TCP,574
153.161238,10.0.0.6,10.0.0.2,TCP,54
153.162916,10.0.0.2,10.0.0.6,TCP,574
153.162954,10.0.0.6,10.0.0.2,TCP,54
153.165319,10.0.0.2,10.0.0.6,TCP,574
153.165359,10.0.0.6,10.0.0.2,TCP,54
153.168741,10.0.0.2,10.0.0.6,TCP,574
153.168781,10.0.0.6,10.0.0.2,TCP,54
153.173204,10.0.0.2,10.0.0.6,TCP,574
153.173344,10.0.0.6,10.0.0.2,TCP,54
153.175647,10.0.0.2,10.0.0.6,TCP,574
153.175689,10.0.0.6,10.0.0.2,TCP,54
153.178988,10.0.0.2,10.0.0.6,TCP,574
153.179021,10.0.0.6,10.0.0.2,TCP,54
153.182317,10.0.0.2,10.0.0.6,TCP,574
153.182338,10.0.0.6,10.0.0.2,TCP,54
153.185659,10.0.0.2,10.0.0.6,TCP,574
153.185681,10.0.0.6,10.0.0.2,TCP,54
153.189251,10.0.0.2,10.0.0.6,TCP,574
153.189287,10.0.0.6,10.0.0.2,TCP,54
153.196078,10.0.0.2,10.0.0.6,TCP,574
153.196132,10.0.0.6,10.0.0.2,TCP,54
153.197801,10.0.0.2,10.0.0.6,TCP,574
153.197834,10.0.0.6,10.0.0.2,TCP,54
153.20024,10.0.0.2,10.0.0.6,TCP,574
153.200259,10.0.0.6,10.0.0.2,TCP,54
153.203804,10.0.0.2,10.0.0.6,TCP,574
153.203831,10.0.0.6,10.0.0.2,TCP,54
153.221225,10.0.0.2,10.0.0.6,TCP,574
153.221274,10.0.0.6,10.0.0.2,TCP,54
153.222765,10.0.0.2,10.0.0.6,TCP,574
153.222774,10.0.0.6,10.0.0.2,TCP,54
153.226108,10.0.0.2,10.0.0.6,TCP,574
153.226121,10.0.0.6,10.0.0.2,TCP,54
153.229445,10.0.0.2,10.0.0.6,TCP,574
153.229454,10.0.0.6,10.0.0.2,TCP,54
153.232784,10.0.0.2,10.0.0.6,TCP,574
153.232792,10.0.0.6,10.0.0.2,TCP,54
153.236125,10.0.0.2,10.0.0.6,TCP,574
153.236134,10.0.0.6,10.0.0.2,TCP,54
153.239299,10.0.0.2,10.0.0.6,TCP,574
153.239337,10.0.0.6,10.0.0.2,TCP,54
153.244909,10.0.0.2,10.0.0.6,TCP,574
153.244939,10.0.0.6,10.0.0.2,TCP,54
153.248555,10.0.0.2,10.0.0.6,TCP,574
153.248585,10.0.0.6,10.0.0.2,TCP,54
153.252898,10.0.0.2,10.0.0.6,TCP,574
153.252931,10.0.0.6,10.0.0.2,TCP,54
153.254845,10.0.0.2,10.0.0.6,TCP,574
153.254854,10.0.0.6,10.0.0.2,TCP,54
153.258183,10.0.0.2,10.0.0.6,TCP,574
153.258191,10.0.0.6,10.0.0.2,TCP,54
153.261525,10.0.0.2,10.0.0.6,TCP,574
153.261533,10.0.0.6,10.0.0.2,TCP,54
153.264864,10.0.0.2,10.0.0.6,TCP,574
153.264881,10.0.0.6,10.0.0.2,TCP,54
153.268205,10.0.0.2,10.0.0.6,TCP,574
153.268214,10.0.0.6,10.0.0.2,TCP,54
153.273511,10.0.0.2,10.0.0.6,TCP,574
