Time,Source,Destination,Protocol,Length
0.663761,10.0.0.3,10.0.0.6,IPv4,1514
0.916882,10.0.0.5,10.0.0.6,TCP,1057
1.067398,10.0.0.3,10.0.0.6,IPv4,1514
1.086209,10.0.0.3,10.0.0.6,IPv4,574
1.215883,10.0.0.3,10.0.0.6,IPv4,1514
1.532196,10.0.0.5,10.0.0.6,TCP,1057
1.74684,10.0.0.5,10.0.0.6,TCP,1057
2.646866,10.0.0.3,10.0.0.6,IPv4,1514
2.834132,10.0.0.5,10.0.0.6,TCP,1057
3.260954,10.0.0.5,10.0.0.6,TCP,1057
3.332652,10.0.0.3,10.0.0.6,IPv4,1514
4.159028,10.0.0.5,10.0.0.6,TCP,1057
4.251266,10.0.0.3,10.0.0.6,IPv4,1514
4.479616,10.0.0.5,10.0.0.6,TCP,1057
4.637982,10.0.0.3,10.0.0.6,TCP,574
4.800889,10.0.0.5,10.0.0.6,TCP,1057
5.325242,10.0.0.3,10.0.0.6,IPv4,1514
6.125325,10.0.0.5,10.0.0.6,TCP,1057
6.442762,10.0.0.2,10.0.0.6,TCP,74
6.931312,10.0.0.3,10.0.0.6,IPv4,1514
7.171174,10.0.0.3,10.0.0.6,TCP,574
9.096929,10.0.0.3,10.0.0.6,TCP,1514
9.19132,10.0.0.5,10.0.0.6,TCP,1057
9.526738,10.0.0.5,10.0.0.6,TCP,1057
9.550745,10.0.0.5,10.0.0.6,TCP,1057
10.083161,10.0.0.3,10.0.0.6,TCP,1514
10.481429,10.0.0.2,10.0.0.6,TCP,1514
10.816888,10.0.0.5,10.0.0.6,TCP,1057
11.097102,10.0.0.3,10.0.0.6,TCP,1514
11.705351,10.0.0.5,10.0.0.6,TCP,1057
12.413423,10.0.0.5,10.0.0.6,TCP,1057
12.575327,10.0.0.5,10.0.0.6,TCP,1057
12.765032,10.0.0.3,10.0.0.6,TCP,574
12.783508,10.0.0.5,10.0.0.6,TCP,1057
12.83898,10.0.0.5,10.0.0.6,TCP,1057
12.944779,10.0.0.5,10.0.0.6,TCP,1057
13.293918,10.0.0.3,10.0.0.6,IPv4,1514
13.433902,10.0.0.5,10.0.0.6,TCP,1057
13.698893,10.0.0.3,10.0.0.6,IPv4,1514
15.724617,10.0.0.3,10.0.0.6,IPv4,1514
16.321662,10.0.0.5,10.0.0.6,TCP,1057
16.424286,10.0.0.5,10.0.0.6,TCP,1057
16.443655,10.0.0.3,10.0.0.6,IPv4,1514
17.198404,10.0.0.3,10.0.0.6,IPv4,1514
17.7107,10.0.0.3,10.0.0.6,IPv4,1514
18.153251,10.0.0.3,10.0.0.6,IPv4,1514
18.260793,10.0.0.3,10.0.0.6,IPv4,1514
18.877503,10.0.0.5,10.0.0.6,TCP,1057
18.888572,10.0.0.5,10.0.0.6,TCP,1057
19.409002,10.0.0.3,10.0.0.6,IPv4,1514
19.860412,10.0.0.3,10.0.0.6,IPv4,1514
19.863664,10.0.0.3,10.0.0.6,IPv4,1514
20.253775,10.0.0.3,10.0.0.6,IPv4,1514
20.373744,10.0.0.5,10.0.0.6,TCP,1057
20.443989,10.0.0.3,10.0.0.6,IPv4,1514
20.97502,10.0.0.3,10.0.0.6,IPv4,1514
21.168218,10.0.0.3,10.0.0.6,IPv4,1514
21.686552,10.0.0.3,10.0.0.6,IPv4,1514
