Time,Source,Destination,Protocol,Length
0.0,10.0.0.3,10.0.0.6,IPv4,1514
1e-05,10.0.0.3,10.0.0.6,IPv4,1514
0.009295,10.0.0.3,10.0.0.6,IPv4,1514
0.009299,10.0.0.3,10.0.0.6,IPv4,1514
0.011627,10.0.0.5,10.0.0.6,TCP,1057
0.01163,10.0.0.5,10.0.0.6,TCP,1057
0.014043,10.0.0.3,10.0.0.6,IPv4,1514
0.014046,10.0.0.5,10.0.0.6,TCP,1057
0.016469,10.0.0.5,10.0.0.6,TCP,1057
0.016472,10.0.0.3,10.0.0.6,TCP,574
0.016842,10.0.0.5,10.0.0.6,TCP,1057
0.019468,10.0.0.5,10.0.0.6,TCP,1057
0.019471,10.0.0.3,10.0.0.6,IPv4,1514
0.021806,10.0.0.5,10.0.0.6,TCP,1057
0.021809,10.0.0.5,10.0.0.6,TCP,1057
0.022429,10.0.0.3,10.0.0.6,TCP,574
0.024231,10.0.0.3,10.0.0.6,IPv4,1514
0.024233,10.0.0.5,10.0.0.6,TCP,1057
0.027106,10.0.0.5,10.0.0.6,TCP,1057
0.027109,10.0.0.3,10.0.0.6,IPv4,1514
0.029536,10.0.0.5,10.0.0.6,TCP,1057
0.029538,10.0.0.5,10.0.0.6,TCP,1057
0.031958,10.0.0.3,10.0.0.6,IPv4,1514
0.03196,10.0.0.5,10.0.0.6,TCP,1057
0.033059,10.0.0.5,10.0.0.6,TCP,1057
0.033634,10.0.0.3,10.0.0.6,IPv4,1514
0.035594,10.0.0.5,10.0.0.6,TCP,1057
0.035661,10.0.0.5,10.0.0.6,TCP,1057
0.037738,10.0.0.5,10.0.0.6,TCP,1057
0.037746,10.0.0.3,10.0.0.6,IPv4,1514
0.038583,10.0.0.5,10.0.0.6,TCP,1057
0.039458,10.0.0.5,10.0.0.6,TCP,1057
0.040538,10.0.0.3,10.0.0.6,IPv4,1514
0.041601,10.0.0.3,10.0.0.6,IPv4,1514
0.043176,10.0.0.3,10.0.0.6,IPv4,1514
0.044273,10.0.0.3,10.0.0.6,IPv4,1514
0.0451,10.0.0.3,10.0.0.6,TCP,574
0.045857,10.0.0.3,10.0.0.6,IPv4,1514
0.046895,10.0.0.5,10.0.0.6,TCP,1057
0.047954,10.0.0.5,10.0.0.6,TCP,1057
0.048481,10.0.0.3,10.0.0.6,IPv4,1514
0.055159,10.0.0.5,10.0.0.6,TCP,1057
0.055163,10.0.0.5,10.0.0.6,TCP,1057
0.056031,10.0.0.3,10.0.0.6,IPv4,1514
0.0571,10.0.0.5,10.0.0.6,TCP,1057
0.057631,10.0.0.5,10.0.0.6,TCP,1057
0.05867,10.0.0.3,10.0.0.6,IPv4,1514
0.059825,10.0.0.3,10.0.0.6,IPv4,1514
0.061128,10.0.0.3,10.0.0.6,IPv4,1514
0.062425,10.0.0.3,10.0.0.6,IPv4,1514
0.063554,10.0.0.5,10.0.0.6,TCP,1057
0.06452,10.0.0.5,10.0.0.6,TCP,1057
0.065046,10.0.0.3,10.0.0.6,IPv4,1514
0.066642,10.0.0.3,10.0.0.6,IPv4,1514
0.067729,10.0.0.3,10.0.0.6,IPv4,1514
0.06876,10.0.0.3,10.0.0.6,IPv4,1514
0.070346,10.0.0.3,10.0.0.6,IPv4,1514
0.071445,10.0.0.3,10.0.0.6,IPv4,1514
0.072451,10.0.0.3,10.0.0.6,IPv4,1514
0.073509,10.0.0.5,10.0.0.6,TCP,1057
0.074495,10.0.0.5,10.0.0.6,TCP,1057
0.075677,10.0.0.3,10.0.0.6,IPv4,1514
0.076731,10.0.0.3,10.0.0.6,IPv4,1514
0.0778,10.0.0.3,10.0.0.6,IPv4,1514
0.078947,10.0.0.5,10.0.0.6,TCP,1057
0.07997,10.0.0.5,10.0.0.6,TCP,1057
0.080516,10.0.0.3,10.0.0.6,IPv4,1514
0.082101,10.0.0.5,10.0.0.6,TCP,1057
0.082628,10.0.0.5,10.0.0.6,TCP,1057
0.083765,10.0.0.5,10.0.0.6,TCP,1057
0.084732,10.0.0.3,10.0.0.6,IPv4,1514
0.085782,10.0.0.5,10.0.0.6,TCP,1057
0.086311,10.0.0.5,10.0.0.6,TCP,1057
0.087412,10.0.0.3,10.0.0.6,IPv4,1514
0.088413,10.0.0.3,10.0.0.6,TCP,574
0.088945,10.0.0.5,10.0.0.6,TCP,1057
0.09,10.0.0.5,10.0.0.6,TCP,1057
0.090532,10.0.0.3,10.0.0.6,IPv4,1514
0.092113,10.0.0.5,10.0.0.6,TCP,1057
0.092643,10.0.0.5,10.0.0.6,TCP,1057
0.093687,10.0.0.3,10.0.0.6,IPv4,1514
0.094745,10.0.0.3,10.0.0.6,IPv4,1514
