Time,Source,Destination,Protocol,Length
0.0,10.0.0.2,10.0.0.6,UDP,1442
0.002299,10.0.0.2,10.0.0.6,UDP,1442
0.004626,10.0.0.2,10.0.0.6,UDP,1442
0.006977,10.0.0.2,10.0.0.6,UDP,1442
0.009235,10.0.0.2,10.0.0.6,UDP,1442
0.011591,10.0.0.2,10.0.0.6,UDP,1442
0.013912,10.0.0.2,10.0.0.6,UDP,1442
0.016253,10.0.0.2,10.0.0.6,UDP,1442
0.018783,10.0.0.2,10.0.0.6,UDP,1442
0.020865,10.0.0.2,10.0.0.6,UDP,1442
0.023097,10.0.0.2,10.0.0.6,UDP,1442
0.025373,10.0.0.2,10.0.0.6,UDP,1442
0.027743,10.0.0.2,10.0.0.6,UDP,1442
0.030148,10.0.0.2,10.0.0.6,UDP,1442
0.032906,10.0.0.2,10.0.0.6,UDP,1442
0.034694,10.0.0.2,10.0.0.6,UDP,1442
0.036908,10.0.0.2,10.0.0.6,UDP,1442
0.039328,10.0.0.2,10.0.0.6,UDP,1442
0.041563,10.0.0.2,10.0.0.6,UDP,1442
0.043954,10.0.0.2,10.0.0.6,UDP,1442
0.046215,10.0.0.2,10.0.0.6,UDP,1442
0.04872,10.0.0.2,10.0.0.6,UDP,1442
0.050805,10.0.0.2,10.0.0.6,UDP,1442
0.053079,10.0.0.2,10.0.0.6,UDP,1442
0.055418,10.0.0.2,10.0.0.6,UDP,1442
0.057854,10.0.0.2,10.0.0.6,UDP,1442
0.060425,10.0.0.3,10.0.0.6,UDP,1442
0.062469,10.0.0.3,10.0.0.6,UDP,1442
0.064602,10.0.0.3,10.0.0.6,UDP,1442
0.066936,10.0.0.3,10.0.0.6,UDP,1442
0.069224,10.0.0.3,10.0.0.6,UDP,1442
0.071715,10.0.0.3,10.0.0.6,UDP,1442
0.073848,10.0.0.3,10.0.0.6,UDP,1442
0.076155,10.0.0.3,10.0.0.6,UDP,1442
0.07848,10.0.0.3,10.0.0.6,UDP,1442
0.08086,10.0.0.3,10.0.0.6,UDP,1442
0.083054,10.0.0.3,10.0.0.6,UDP,1442
0.085388,10.0.0.3,10.0.0.6,UDP,1442
0.087666,10.0.0.3,10.0.0.6,UDP,1442
0.090216,10.0.0.3,10.0.0.6,UDP,1442
0.09228,10.0.0.3,10.0.0.6,UDP,1442
0.094583,10.0.0.3,10.0.0.6,UDP,1442
0.096917,10.0.0.3,10.0.0.6,UDP,1442
0.099228,10.0.0.3,10.0.0.6,UDP,1442
0.101508,10.0.0.3,10.0.0.6,UDP,1442
0.104091,10.0.0.3,10.0.0.6,UDP,1442
0.106126,10.0.0.3,10.0.0.6,UDP,1442
0.108707,10.0.0.3,10.0.0.6,UDP,1442
0.11073,10.0.0.3,10.0.0.6,UDP,1442
0.113078,10.0.0.3,10.0.0.6,UDP,1442
0.115863,10.0.0.3,10.0.0.6,UDP,1442
0.117665,10.0.0.3,10.0.0.6,UDP,1442
0.120021,10.0.0.3,10.0.0.6,UDP,1442
0.122579,10.0.0.3,10.0.0.6,UDP,1442
0.124921,10.0.0.3,10.0.0.6,UDP,1442
0.126887,10.0.0.3,10.0.0.6,UDP,1442
0.129202,10.0.0.3,10.0.0.6,UDP,1442
0.131914,10.0.0.3,10.0.0.6,UDP,1442
0.133887,10.0.0.3,10.0.0.6,UDP,1442
0.136458,10.0.0.3,10.0.0.6,UDP,1442
0.138511,10.0.0.3,10.0.0.6,UDP,1442
0.141088,10.0.0.3,10.0.0.6,UDP,1442
0.143117,10.0.0.3,10.0.0.6,UDP,1442
0.145359,10.0.0.3,10.0.0.6,UDP,1442
0.147821,10.0.0.3,10.0.0.6,UDP,1442
0.150316,10.0.0.3,10.0.0.6,UDP,1442
0.152358,10.0.0.3,10.0.0.6,UDP,1442
0.154574,10.0.0.3,10.0.0.6,UDP,1442
0.157288,10.0.0.3,10.0.0.6,UDP,1442
0.159571,10.0.0.3,10.0.0.6,UDP,1442
0.163345,10.0.0.3,10.0.0.6,UDP,1442
0.163816,10.0.0.3,10.0.0.6,UDP,1442
0.166252,10.0.0.3,10.0.0.6,UDP,1442
0.168819,10.0.0.1,10.0.0.6,UDP,1442
0.170825,10.0.0.1,10.0.0.6,UDP,1442
0.173042,10.0.0.1,10.0.0.6,UDP,1442
0.175348,10.0.0.1,10.0.0.6,UDP,1442
0.177659,10.0.0.1,10.0.0.6,UDP,1442
0.179967,10.0.0.1,10.0.0.6,UDP,1442
0.182456,10.0.0.1,10.0.0.6,UDP,1442
0.184578,10.0.0.1,10.0.0.6,UDP,1442
0.186871,10.0.0.1,10.0.0.6,UDP,1442
0.189305,10.0.0.1,10.0.0.6,UDP,1442
0.192286,10.0.0.1,10.0.0.6,UDP,1442
0.193913,10.0.0.1,10.0.0.6,UDP,1442
0.196161,10.0.0.1,10.0.0.6,UDP,1442
