Time,Source,Destination,Protocol,Length
0.0,30.202.137.23,10.0.0.6,UDP,1442
0.000535,210.32.240.208,10.0.0.6,UDP,1442
0.002826,243.143.68.132,10.0.0.6,UDP,1442
0.00518,31.43.164.65,10.0.0.6,UDP,1442
0.007432,228.2.208.85,10.0.0.6,UDP,1442
0.009739,252.188.156.225,10.0.0.6,UDP,1442
0.012038,17.143.25.222,10.0.0.6,UDP,1442
0.014341,112.82.250.156,10.0.0.6,UDP,1442
0.016973,228.29.144.119,10.0.0.6,UDP,1442
0.019012,209.140.71.24,10.0.0.6,UDP,1442
0.021964,76.241.20.45,10.0.0.6,UDP,1442
0.024884,83.240.146.143,10.0.0.6,UDP,1442
0.026715,209.131.244.118,10.0.0.6,UDP,1442
0.028198,164.130.92.82,10.0.0.6,UDP,1442
0.030749,24.227.208.17,10.0.0.6,UDP,1442
0.032921,98.134.41.33,10.0.0.6,UDP,1442
0.035122,76.229.214.45,10.0.0.6,UDP,1442
0.037458,218.125.200.174,10.0.0.6,UDP,1442
0.03973,9.166.31.109,10.0.0.6,UDP,1442
0.042083,21.133.236.8,10.0.0.6,UDP,1442
0.044413,7.46.36.166,10.0.0.6,UDP,1442
0.046693,61.134.7.12,10.0.0.6,UDP,1442
0.049351,7.106.42.187,10.0.0.6,UDP,1442
0.051274,3.82.167.155,10.0.0.6,UDP,1442
0.054445,161.152.14.83,10.0.0.6,UDP,1442
0.058369,60.215.242.106,10.0.0.6,UDP,1442
0.058371,62.142.10.124,10.0.0.6,UDP,1442
0.06063,8.112.182.102,10.0.0.6,UDP,1442
0.062839,124.157.15.96,10.0.0.6,UDP,1442
0.065226,134.186.181.202,10.0.0.6,UDP,1442
0.06743,15.215.210.99,10.0.0.6,UDP,1442
0.069897,155.21.240.234,10.0.0.6,UDP,1442
0.072616,51.166.156.122,10.0.0.6,UDP,1442
0.074398,58.0.41.33,10.0.0.6,UDP,1442
0.077105,230.48.236.21,10.0.0.6,UDP,1442
0.079159,237.148.214.8,10.0.0.6,UDP,1442
0.081721,54.14.155.21,10.0.0.6,UDP,1442
0.083582,18.142.173.89,10.0.0.6,UDP,1442
0.085911,22.181.0.236,10.0.0.6,UDP,1442
0.088397,126.162.135.46,10.0.0.6,UDP,1442
0.090978,32.16.149.16,10.0.0.6,UDP,1442
0.093,145.106.31.62,10.0.0.6,UDP,1442
