Time,Source,Destination,Protocol,Length
65.058766,10.0.0.5,10.0.0.6,TCP,1057
45.544888,10.0.0.5,10.0.0.6,TCP,1057
106.622274,10.0.0.5,10.0.0.6,TCP,1057
20.97502,10.0.0.3,10.0.0.6,IPv4,1514
101.822392,10.0.0.5,10.0.0.6,TCP,1057
59.832646,10.0.0.3,10.0.0.6,IPv4,1514
64.272166,10.0.0.3,10.0.0.6,TCP,574
25.223179,10.0.0.5,10.0.0.6,TCP,1057
45.647196,10.0.0.3,10.0.0.6,IPv4,1514
101.98108,10.0.0.5,10.0.0.6,TCP,1057
46.959078,10.0.0.5,10.0.0.6,TCP,1057
55.149871,10.0.0.3,10.0.0.6,IPv4,1514
33.41397,10.0.0.5,10.0.0.6,TCP,1057
82.862303,10.0.0.4,10.0.0.6,TCP,954
64.611438,10.0.0.5,10.0.0.6,TCP,1057
95.75743,10.0.0.5,10.0.0.6,TCP,1057
84.465555,10.0.0.5,10.0.0.6,TCP,1057
7.171174,10.0.0.3,10.0.0.6,TCP,574
56.13857,10.0.0.5,10.0.0.6,TCP,1057
1.067398,10.0.0.3,10.0.0.6,IPv4,1514
4.159028,10.0.0.5,10.0.0.6,TCP,1057
19.863664,10.0.0.3,10.0.0.6,IPv4,1514
91.722186,10.0.0.5,10.0.0.6,TCP,1057
66.710039,10.0.0.5,10.0.0.6,TCP,1057
12.765032,10.0.0.3,10.0.0.6,TCP,574
84.990958,10.0.0.5,10.0.0.6,TCP,1057
16.321662,10.0.0.5,10.0.0.6,TCP,1057
59.133432,10.0.0.5,10.0.0.6,TCP,1057
109.08729,10.0.0.5,10.0.0.6,TCP,1057
4.800889,10.0.0.5,10.0.0.6,TCP,1057
82.930616,10.0.0.4,10.0.0.6,TCP,954
65.182495,10.0.0.5,10.0.0.6,TCP,1057
55.822018,10.0.0.3,10.0.0.6,IPv4,1514
66.197401,10.0.0.5,10.0.0.6,TCP,1057
23.070485,10.0.0.5,10.0.0.6,TCP,1057
33.369713,10.0.0.5,10.0.0.6,TCP,1057
28.404149,10.0.0.5,10.0.0.6,TCP,1057
48.035828,10.0.0.3,10.0.0.6,IPv4,1514
10.816888,10.0.0.5,10.0.0.6,TCP,1057
10.083161,10.0.0.3,10.0.0.6,TCP,1514
73.364953,10.0.0.5,10.0.0.6,TCP,1057
61.707003,10.0.0.3,10.0.0.6,IPv4,1514
35.016741,10.0.0.5,10.0.0.6,TCP,1057
5.325242,10.0.0.3,10.0.0.6,IPv4,1514
84.085894,10.0.0.5,10.0.0.6,TCP,1057
15.724617,10.0.0.3,10.0.0.6,IPv4,1514
85.327034,10.0.0.5,10.0.0.6,TCP,1057
77.226313,10.0.0.3,10.0.0.6,IPv4,1514
31.34386,10.0.0.5,10.0.0.6,TCP,1057
37.986913,10.0.0.5,10.0.0.6,TCP,1057
4.637982,10.0.0.3,10.0.0.6,TCP,574
30.311403,10.0.0.5,10.0.0.6,TCP,1057
86.839186,10.0.0.5,10.0.0.6,TCP,1057
36.918617,10.0.0.3,10.0.0.6,IPv4,1514
54.068326,10.0.0.5,10.0.0.6,TCP,1057
49.45309,10.0.0.5,10.0.0.6,TCP,1057
50.617829,10.0.0.4,10.0.0.6,TCP,954
67.456599,10.0.0.3,10.0.0.6,IPv4,1514
